age,E1,N1,A1,C1,O1
18,3,5,1,3,3
19,3,4,2,3,3
21,3,5,4,3,4
51,4,1,1,3,3
17,3,2,1,3,4
21,1,5,1,3,3
23,3,3,5,1,4
41,1,5,1,2,4
20,2,3,1,4,5
18,3,4,1,3,4
52,4,2,5,3,5
21,3,1,2,3,3
23,3,3,1,3,3
15,2,5,3,3,2
14,5,5,3,4,4
29,4,4,2,2,2
21,2,1,3,2,4
23,2,4,1,2,4
27,3,4,3,4,3
22,1,4,4,5,5
19,2,4,3,3,1
18,2,5,2,4,5
18,3,2,4,4,2
31,3,3,1,5,5
29,4,2,2,4,4
25,3,1,2,4,4
29,1,5,3,2,4
42,5,1,1,3,5
45,4,3,1,2,4
18,2,4,1,3,4
45,2,3,1,5,4
30,4,4,1,3,5
1974,2,5,1,4,3
15,5,5,3,3,2
15,3,5,5,1,5
14,2,4,1,3,3
16,5,1,1,1,5
18,2,5,1,4,4
20,2,4,3,4,4
16,3,2,1,2,4
19,2,5,1,3,2
32,3,4,1,2,4
15,1,5,2,5,5
45,1,1,1,3,2
22,2,1,2,4,2
53,1,5,2,2,5
17,4,4,4,3,3
19,4,5,2,2,4
19,3,5,5,4,2
37,1,4,4,2,2
21,2,2,1,3,3
17,1,2,2,3,5
40,3,4,1,5,5
14,3,2,4,3,2
18,5,2,4,4,4
45,5,4,5,5,3
21,3,3,4,4,3
20,4,4,3,4,4
25,1,5,1,5,5
15,1,3,2,3,5
31,2,1,1,5,3
21,3,5,2,5,5
22,2,4,4,2,5
21,4,2,1,4,4
14,2,4,1,3,3
21,2,3,1,2,5
20,4,4,5,3,3
20,4,2,2,4,3
20,3,2,2,3,3
24,1,5,2,3,4
32,4,3,1,4,3
21,1,5,4,2,4
31,5,2,4,4,4
223,3,2,1,3,4
18,3,1,2,4,4
30,4,4,4,2,5
48,3,3,1,5,3
57,2,1,2,2,4
22,5,4,4,3,3
41,2,2,1,2,2
18,3,3,1,3,3
38,3,3,2,3,3
23,1,5,2,4,4
13,2,5,4,2,5
60,1,3,1,4,3
21,2,4,4,5,5
31,2,3,2,4,4
20,5,3,5,3,2
20,4,2,4,3,3
19,3,5,1,2,3
21,1,1,3,3,4
14,1,4,5,4,2
35,3,4,5,3,3
24,2,3,2,2,4
50,2,3,2,2,4
18,1,4,2,5,5
45,3,2,2,3,4
18,1,2,4,2,4
19,4,2,1,4,3
23,5,3,3,1,3
30,4,5,1,1,5
17,1,5,3,4,3
32,2,2,1,4,3
53,5,2,1,3,3
18,4,3,3,5,3
16,5,2,4,3,4
15,2,5,4,2,5
18,3,4,1,1,2
59,5,2,1,3,5
22,1,2,1,4,3
18,3,4,1,4,5
14,4,2,5,1,3
32,1,3,2,3,3
15,3,2,5,4,3
34,5,3,1,3,5
17,4,4,1,4,3
19,2,5,2,2,4
20,2,5,1,2,3
30,1,5,3,4,2
53,3,3,1,5,4
26,3,4,1,2,4
20,4,5,3,4,4
18,1,3,4,2,4
25,2,3,2,4,5
18,3,2,2,3,3
20,2,4,1,3,4
34,1,1,1,4,3
15,1,4,1,4,4
18,3,4,5,3,3
18,4,4,2,2,5
27,3,3,2,3,3
27,4,3,2,4,3
23,3,1,1,4,5
14,4,5,1,1,5
39,1,5,3,3,5
21,4,5,1,4,3
32,4,1,1,4,3
39,4,1,1,3,4
22,4,4,1,4,3
22,2,1,2,3,4
14,4,2,2,3,5
15,2,4,2,4,4
21,1,4,2,4,4
27,5,4,1,2,2
44,2,4,3,3,3
29,3,3,4,4,4
22,1,4,2,2,4
22,2,4,5,4,3
55,5,2,1,3,5
39,2,1,2,5,4
19,3,4,1,5,3
18,3,4,1,3,5
58,5,2,1,5,5
43,1,3,1,5,5
20,3,4,1,4,2
53,4,3,1,3,3
17,3,4,4,4,4
27,1,5,1,5,3
19,4,3,2,4,5
49,3,5,4,4,4
14,2,1,4,1,5
41,4,5,2,5,3
15,3,2,4,4,2
23,1,3,2,2,4
31,4,2,2,3,2
32,3,3,3,5,5
20,4,2,1,4,5
18,2,4,1,5,4
23,3,4,2,5,4
20,5,4,2,4,5
27,4,4,1,4,4
17,4,5,4,3,4
16,3,5,4,4,4
15,3,5,1,1,4
51,1,5,1,3,3
20,2,3,2,3,4
21,5,1,3,4,4
25,2,2,3,2,4
33,1,5,1,4,4
17,2,2,1,2,4
17,3,2,3,4,4
18,4,5,2,3,5
27,3,2,1,3,4
19,3,3,1,4,4
20,1,4,2,4,5
25,1,2,2,4,4
18,1,3,1,4,3
33,2,5,1,2,4
26,5,1,2,3,3
18,1,4,3,2,5
25,4,1,1,4,4
34,3,5,3,2,3
19,5,3,1,3,2
47,4,2,3,4,5
29,4,4,3,3,3
21,3,5,1,3,5
19,1,5,2,1,5
66,3,4,2,3,4
19,3,3,1,4,4
18,2,2,5,4,5
17,2,3,3,4,4
19,3,2,2,3,3
17,4,2,1,2,5
34,4,4,4,2,2
44,3,3,1,4,2
18,2,5,1,3,3
57,5,1,1,5,5
23,3,1,4,5,4
20,1,3,2,4,4
15,4,5,5,3,2
32,2,3,1,5,4
33,3,5,5,3,2
17,1,5,1,3,5
19,2,5,4,4,3
14,2,2,2,5,4
56,4,4,1,3,4
17,1,2,4,4,5
26,3,1,1,3,2
52,1,5,2,2,2
14,2,5,1,2,4
32,5,3,4,5,5
20,3,5,5,3,4
19,3,3,1,2,3
28,3,1,2,1,3
16,3,4,1,2,1
33,3,3,1,4,4
44,3,4,4,2,2
15,2,2,4,2,4
52,1,5,1,1,5
20,2,5,1,4,4
25,1,4,2,3,3
32,1,5,2,5,5
50,1,5,1,4,3
20,2,1,2,1,5
18,1,1,5,4,3
17,3,3,3,4,3
24,4,4,2,4,4
31,1,5,1,1,3
22,4,4,2,4,4
20,1,4,2,2,4
20,1,5,5,1,3
21,3,3,2,4,3
18,2,2,1,2,2
21,1,5,1,2,3
18,4,4,5,3,5
21,4,2,2,4,4
22,4,2,2,4,4
27,1,2,1,4,5
54,3,3,2,4,5
23,2,2,3,3,2
21,4,3,2,4,5
20,3,2,1,4,5
26,1,5,2,3,5
17,3,3,1,3,4
18,1,5,3,3,1
26,3,4,1,5,4
36,3,3,2,4,2
18,2,2,4,2,2
21,5,5,3,1,3
15,1,3,2,2,4
29,2,3,1,4,4
18,1,4,3,1,2
23,1,2,2,4,2
22,1,5,5,2,2
32,3,1,1,5,5
42,2,4,3,3,5
46,4,2,1,3,5
19,4,4,2,5,3
23,5,5,2,3,3
38,1,3,3,5,1
20,1,4,1,3,4
42,1,2,3,4,5
16,1,4,3,4,5
22,3,5,2,3,2
19,1,4,1,4,4
18,4,2,2,5,4
22,3,4,4,3,4
18,2,4,2,3,4
16,1,4,1,3,3
17,2,5,1,4,4
20,3,1,3,1,2
18,1,5,2,2,1
20,1,5,5,3,4
20,4,4,4,3,3
28,5,5,1,5,4
16,2,2,4,4,4
32,1,4,3,2,4
32,2,3,2,3,4
15,4,1,5,5,5
25,5,1,5,5,2
28,2,2,2,4,3
19,4,1,2,4,4
18,3,2,5,2,5
23,3,2,2,4,2
45,3,3,1,5,3
14,1,5,2,3,4
18,1,4,1,3,3
21,2,2,1,4,4
25,2,3,1,4,4
67,2,2,2,4,5
23,2,5,3,2,2
19,3,4,5,5,4
49,5,2,3,5,4
22,3,3,5,2,3
24,1,3,3,2,2
13,3,1,5,4,3
60,3,3,1,5,5
30,4,2,2,5,4
14,3,2,4,3,1
39,3,1,1,4,1
16,4,2,1,4,3
15,5,4,1,2,1
19,2,2,2,2,3
45,2,3,1,2,3
23,3,3,1,4,5
40,1,4,3,2,4
26,4,5,1,4,5
29,2,3,2,3,5
37,3,3,2,4,4
19,3,3,1,4,1
20,2,4,5,3,3
48,1,1,1,5,1
24,4,2,4,3,4
57,5,5,5,5,4
34,4,4,4,3,3
40,1,3,4,2,1
24,4,2,4,4,2
23,3,4,2,2,5
48,5,1,1,5,5
22,4,4,2,2,4
24,3,2,4,4,3
27,1,4,4,4,5
20,1,4,4,2,5
23,3,2,5,4,3
32,3,3,5,5,5
16,1,5,1,3,5
16,3,5,3,2,2
15,5,5,1,3,3
38,2,4,2,5,4
41,3,2,1,4,3
21,4,2,4,3,4
17,2,4,4,3,3
14,1,3,5,3,4
46,4,1,1,4,5
30,2,4,1,4,4
21,3,4,5,4,4
18,3,3,3,2,4
14,1,5,1,4,3
36,2,2,1,4,3
55,3,3,1,4,5
21,4,2,3,4,3
21,1,3,3,4,2
22,4,5,1,3,4
46,4,1,3,5,5
20,5,3,5,5,5
32,1,1,1,5,1
15,1,4,2,3,4
40,1,4,1,3,3
23,3,5,5,3,4
24,3,4,1,2,4
30,4,3,1,4,4
32,3,2,3,2,4
29,4,3,2,3,3
31,1,5,2,3,4
25,3,4,3,4,3
27,5,5,5,3,1
22,1,3,2,4,4
18,2,3,1,5,3
18,1,1,1,4,1
18,1,5,2,4,4
17,2,3,1,4,3
21,4,3,2,2,4
15,1,3,1,4,5
17,2,4,2,2,3
16,3,5,3,1,4
30,2,4,2,3,5
23,3,3,1,4,2
20,2,2,2,4,5
41,2,5,1,1,4
31,3,3,4,4,4
34,1,3,4,3,4
30,5,2,2,3,5
19,4,2,1,4,4
23,1,1,1,3,1
54,5,3,1,5,5
18,3,2,1,4,3
20,1,3,1,4,4
43,3,4,1,3,5
27,3,2,2,4,3
23,4,3,1,4,2
38,2,3,2,4,4
23,5,4,5,2,3
14,4,2,1,4,5
17,1,5,1,1,1
22,3,3,5,3,4
24,2,4,1,4,4
21,3,2,1,3,5
48,4,5,4,3,3
23,3,4,4,3,4
18,5,4,3,2,4
18,4,4,1,2,4
54,1,5,1,4,4
19,3,3,1,4,4
24,4,2,2,3,4
30,2,4,2,2,4
36,2,5,5,2,2
39,1,5,1,1,5
49,2,3,2,4,3
24,1,4,5,5,5
30,4,4,1,3,5
36,3,2,3,4,5
33,3,5,1,1,5
23,2,4,5,4,4
16,3,5,3,2,5
16,3,5,4,2,3
16,3,3,1,5,3
25,3,3,2,2,4
20,3,4,4,5,2
13,1,2,1,1,5
21,4,5,1,5,4
26,2,4,1,3,5
20,3,5,1,4,2
33,1,5,3,1,1
32,1,1,4,5,4
34,3,1,1,2,4
28,2,2,3,3,4
17,1,4,5,1,3
17,1,2,2,4,5
36,4,2,1,4,5
33,5,2,1,5,1
43,3,4,1,4,3
27,2,1,1,4,5
38,3,3,1,4,4
1985,4,3,1,5,4
35,1,4,3,5,5
20,3,1,5,4,4
17,1,5,2,3,3
28,2,4,4,4,3
21,1,4,1,3,5
42,4,3,2,4,5
28,1,4,2,4,4
17,4,3,4,3,2
16,2,4,2,5,3
20,1,2,2,4,5
19,3,3,4,4,3
16,1,5,5,1,2
14,1,2,3,5,5
21,1,5,1,4,2
19,1,4,2,3,4
28,3,1,5,4,5
36,1,4,2,1,5
16,1,5,1,4,3
21,4,1,1,3,4
17,1,5,2,3,3
28,1,2,1,3,3
17,1,2,1,3,3
40,2,3,2,4,5
52,2,2,1,3,5
16,5,2,4,3,2
19,4,5,4,3,4
16,4,3,2,5,4
22,2,2,2,2,4
16,1,4,1,3,3
18,2,4,1,4,4
28,4,3,2,2,3
20,5,3,2,1,2
20,2,4,3,2,4
22,2,5,1,2,2
27,3,2,4,4,3
23,5,4,2,2,5
47,1,2,1,3,3
16,4,2,1,2,3
17,1,4,1,1,4
18,3,4,2,3,2
23,5,3,1,5,3
28,5,5,3,4,4
27,2,4,3,2,4
69,3,4,1,5,5
14,1,5,4,3,5
19,1,3,1,3,4
15,4,3,4,5,3
55,3,4,1,3,2
18,2,4,3,4,3
45,4,2,4,3,2
41,3,3,2,4,3
19,5,1,1,4,4
21,2,5,2,2,1
69,1,5,1,4,5
39,2,3,1,4,3
16,2,5,1,3,2
43,3,1,1,4,4
18,3,2,5,3,3
28,1,4,1,4,3
29,3,5,1,1,3
16,3,2,1,3,4
29,5,5,1,3,4
22,1,3,1,2,3
30,5,5,4,3,3
19,4,2,1,3,4
17,3,4,1,2,4
20,2,2,1,3,5
28,4,2,2,4,3
53,2,1,4,4,5
20,2,4,1,4,3
22,3,4,2,3,4
20,3,4,3,3,5
47,1,4,1,5,5
23,1,5,1,4,3
32,2,5,2,3,5
19,4,4,2,3,5
21,1,5,4,2,4
35,3,3,1,5,3
41,2,3,2,4,2
23,3,1,4,2,4
60,4,2,1,2,3
49,3,2,1,4,3
49,1,2,1,4,4
21,4,4,5,4,3
22,2,1,3,4,5
16,3,4,1,3,3
40,5,2,1,3,5
31,5,1,5,1,4
16,4,3,2,3,4
45,4,2,4,4,5
17,2,4,3,4,5
18,3,1,5,4,3
24,4,2,5,5,3
22,1,3,4,3,2
21,5,3,4,4,2
19,2,5,2,2,1
32,5,1,1,3,5
22,4,5,4,4,4
55,2,4,4,4,5
51,3,4,1,4,4
18,1,5,1,3,5
211,4,5,3,2,3
20,1,1,4,1,5
15,1,5,2,4,3
18,1,4,5,2,1
20,1,1,4,1,5
48,2,3,3,2,5
38,3,3,1,4,5
20,2,3,1,3,2
49,2,1,1,2,5
28,2,2,2,3,2
30,3,2,1,4,2
21,2,3,4,3,2
19,2,4,2,4,4
20,2,3,1,4,4
24,4,3,1,4,5
26,3,5,4,3,4
21,1,3,3,4,5
26,2,1,2,4,5
17,3,4,4,3,5
58,5,1,2,5,4
14,3,3,5,2,4
17,2,4,2,3,4
14,1,3,1,3,4
19,3,4,1,4,5
23,3,4,4,2,4
51,4,3,1,3,3
19,3,5,1,4,2
26,1,5,1,3,3
51,4,2,1,5,5
36,1,3,1,4,3
17,2,2,1,2,4
49,4,4,2,3,4
14,3,5,3,2,3
23,3,4,3,3,4
52,5,1,1,5,5
37,2,2,1,3,5
23,3,4,2,2,4
18,2,3,1,3,4
22,3,3,1,2,4
23,5,2,5,2,5
19,3,4,3,3,3
48,2,3,3,2,2
17,4,2,3,4,2
26,2,5,2,5,4
17,2,5,3,1,4
18,4,1,1,2,5
31,3,3,1,5,4
17,1,2,1,3,4
19,2,3,4,3,3
20,2,2,4,4,3
29,5,4,1,5,5
17,2,5,2,4,2
17,4,3,4,5,4
30,4,4,1,3,2
27,1,5,5,1,2
34,2,2,2,3,4
49,3,3,1,2,5
18,4,3,3,2,4
18,3,3,3,2,2
18,4,3,2,3,4
18,3,5,4,2,3
49,4,1,2,5,4
29,1,5,4,4,3
26,3,4,2,1,3
26,2,4,2,3,4
58,1,5,1,5,5
19,4,4,3,4,4
32,5,2,1,3,5
20,4,3,2,4,3
36,3,4,1,2,5
22,1,4,2,4,3
58,5,1,1,1,5
19,2,2,1,3,3
25,2,4,1,3,2
15,5,5,4,4,5
42,3,2,1,2,5
25,2,4,1,3,4
35,1,1,1,3,3
17,4,2,2,3,4
53,1,3,1,3,3
13,1,5,1,1,4
48,2,1,1,5,4
27,5,5,5,5,3
21,4,2,1,5,4
39,5,2,1,2,5
24,3,5,4,4,4
19,5,1,1,2,5
18,1,2,2,3,3
19,4,2,2,2,3
18,2,4,1,3,4
24,3,3,1,4,3
16,2,3,2,2,5
23,2,4,2,3,4
24,5,1,1,1,1
45,2,3,1,3,4
28,3,3,1,2,2
1996,1,3,4,3,3
16,4,4,1,5,3
16,1,5,1,4,4
17,1,5,2,4,2
17,4,2,2,3,4
29,4,5,4,4,4
17,2,4,1,4,4
16,2,3,1,4,4
20,3,3,3,3,3
17,5,3,4,5,3
26,2,4,3,3,4
43,1,3,1,3,3
18,4,2,2,3,3
19,4,5,3,5,4
26,5,3,1,3,3
37,1,3,1,2,5
38,1,3,1,3,5
22,3,4,1,4,4
13,4,2,3,5,5
20,2,3,4,3,3
58,3,3,2,4,5
55,3,2,2,4,3
43,3,2,2,4,3
17,3,3,4,3,3
17,3,4,2,2,5
17,3,5,1,4,2
16,3,5,2,2,3
17,2,3,1,5,4
22,2,2,3,4,5
17,3,2,1,4,4
17,5,4,5,2,1
45,2,5,2,3,3
22,3,5,4,3,3
55,3,2,1,5,5
20,5,3,5,3,2
25,3,4,1,5,5
30,1,4,1,4,4
18,2,4,2,2,4
28,4,3,1,4,5
18,1,3,5,3,4
45,3,2,3,4,4
15,2,5,4,2,4
23,4,3,1,3,4
43,4,1,2,4,5
16,3,2,5,1,4
19,4,5,3,4,4
31,1,5,3,4,2
22,1,4,2,3,1
19,4,1,2,3,3
28,2,3,1,4,4
46,3,3,1,4,5
21,1,2,4,2,5
14,4,1,4,1,3
30,4,5,1,4,4
31,3,5,1,4,5
31,1,3,1,3,3
23,4,2,2,3,2
33,4,2,1,3,5
32,5,3,1,2,1
20,3,3,5,4,5
56,3,2,2,3,4
36,1,2,1,4,4
20,5,4,4,2,5
18,4,3,1,5,3
31,4,5,2,3,4
20,3,1,4,4,3
37,3,2,5,4,3
26,5,2,1,3,5
21,3,3,1,3,3
28,1,2,1,4,3
21,3,5,2,4,3
13,1,1,1,4,5
19,3,1,2,2,4
19,4,2,1,3,4
20,3,5,1,3,3
17,4,5,3,2,3
33,4,1,3,4,4
37,2,4,1,1,4
18,3,4,1,4,5
28,1,5,1,5,5
14,1,5,5,3,4
19,1,5,2,2,4
42,2,2,5,4,2
15,2,3,2,1,2
28,3,5,1,1,3
16,4,5,5,3,2
16,3,2,5,5,3
27,1,5,4,4,1
25,3,4,1,2,3
17,3,4,4,2,3
19,2,4,4,3,3
19,3,2,1,4,4
17,3,2,2,4,5
18,2,3,1,3,4
23,1,2,2,2,2
35,2,1,3,5,4
23,4,2,2,3,4
26,5,2,1,4,2
15,2,4,3,5,3
18,3,1,1,3,3
22,2,2,1,3,5
32,4,5,4,4,3
24,3,3,1,3,4
55,1,4,1,4,5
20,1,2,4,2,5
23,3,4,2,3,4
35,4,1,1,4,4
24,5,4,2,1,4
30,3,2,1,1,3
18,1,2,1,2,4
71,3,3,1,3,3
41,4,3,1,4,5
25,1,3,1,3,2
50,2,1,2,4,5
19,2,3,1,2,3
57,2,5,1,2,4
18,1,5,1,3,5
54,2,3,1,3,4
18,3,4,1,5,3
23,4,4,2,4,5
22,3,1,3,4,5
33,3,2,4,3,4
22,3,1,3,4,5
17,1,1,1,2,5
43,3,4,2,2,4
21,3,5,3,5,4
19,2,5,1,4,3
24,2,4,2,4,4
20,3,4,2,2,4
19,4,1,5,3,1
18,1,4,1,4,4
32,2,5,2,3,4
18,1,3,1,5,4
29,3,2,4,3,4
21,3,3,2,2,3
18,2,4,1,3,2
20,5,4,1,2,4
14,3,4,1,2,4
32,1,5,3,2,5
55,1,3,1,4,4
18,2,4,2,3,4
29,4,4,2,4,5
64,1,4,1,3,4
17,1,5,1,2,4
25,2,1,1,4,5
15,3,1,2,4,5
21,4,2,4,2,4
24,2,5,3,1,1
22,4,4,2,2,3
18,4,2,3,4,5
58,5,3,1,4,5
18,2,5,1,4,2
39,4,3,1,5,5
20,3,1,4,2,4
28,3,5,1,4,2
48,2,5,4,3,3
31,4,3,1,3,4
26,2,3,2,3,5
20,3,5,1,4,4
23,2,3,2,3,3
22,2,2,4,3,5
30,1,3,1,3,4
19,2,4,1,5,3
24,3,3,1,3,4
33,3,1,2,5,4
21,4,2,3,5,4
39,3,1,5,4,5
43,3,2,1,4,4
23,2,3,1,3,3
19,1,1,5,4,5
33,5,5,1,5,1
21,4,4,1,3,4
23,2,3,5,5,4
54,1,1,1,5,4
19,2,4,2,2,5
38,5,3,1,4,5
21,2,5,4,5,3
21,5,1,4,2,4
21,3,1,2,2,2
20,3,3,4,5,3
19,3,2,1,4,2
25,2,1,1,5,2
21,4,1,4,4,2
14,2,5,1,4,5
17,1,2,4,4,3
21,2,2,3,3,3
25,1,1,1,1,1
31,1,5,1,4,3
20,3,3,3,5,2
26,4,2,1,3,4
23,2,5,2,4,3
23,4,1,4,2,5
24,3,1,1,3,3
44,2,2,2,5,3
54,2,2,5,4,3
20,3,3,1,4,5
16,3,2,3,1,2
18,2,2,1,4,5
22,4,2,3,3,3
17,1,3,3,3,4
18,3,5,4,3,3
17,3,2,4,4,4
20,2,4,3,3,4
21,2,5,1,2,4
18,2,3,1,3,3
23,3,1,2,5,4
21,1,5,2,3,4
20,1,3,1,4,4
28,4,3,2,4,5
21,3,4,3,2,1
52,3,1,1,4,5
18,3,2,5,4,4
21,4,2,2,4,5
30,1,1,5,5,5
20,5,4,1,4,4
19,5,2,4,4,1
52,4,4,1,3,5
19,2,3,2,4,4
41,2,1,1,4,5
22,3,3,4,2,3
23,3,4,3,2,2
56,1,3,1,3,4
22,2,5,1,3,3
33,3,4,5,4,3
30,2,4,2,3,2
24,5,4,4,3,5
22,4,5,1,4,5
35,1,1,5,5,5
21,4,2,2,4,3
18,2,5,1,2,4
22,3,5,1,2,4
22,5,4,5,5,3
33,1,5,4,4,3
18,1,5,4,4,4
13,2,3,3,4,3
25,1,5,1,4,3
23,2,3,4,4,4
17,2,3,4,4,4
67,2,2,4,4,5
18,5,4,1,3,4
24,1,5,1,4,4
32,2,5,2,2,5
18,4,3,2,5,4
17,5,5,2,2,3
18,4,2,2,2,4
68,1,2,2,3,4
49,4,2,2,5,2
15,1,4,2,4,3
60,1,1,1,4,5
25,3,3,2,4,4
17,2,4,4,3,4
17,4,5,1,1,5
26,1,2,5,3,4
19,3,3,3,5,4
16,3,2,4,4,3
52,2,1,2,4,2
17,5,1,1,5,5
27,2,3,2,3,2
28,1,1,1,1,1
43,3,2,2,4,5
14,3,4,3,2,3
26,3,5,3,1,2
22,1,1,5,5,5
24,1,4,4,2,5
26,3,4,5,5,4
13,4,3,1,5,5
20,4,1,5,3,4
39,1,3,2,4,4
17,4,1,1,3,4
16,1,5,4,2,4
16,5,1,2,2,2
16,3,5,2,3,3
18,5,5,5,3,4
16,4,4,3,5,3
17,4,4,1,3,3
68,2,3,4,2,2
23,4,4,1,4,3
28,1,5,1,3,4
17,2,4,2,1,4
42,2,1,3,5,3
41,1,1,1,1,3
14,5,5,4,2,5
27,4,3,1,4,2
23,5,5,2,3,5
18,1,3,4,4,3
23,3,1,1,5,5
56,3,4,1,4,4
58,3,4,2,3,4
19,1,5,1,5,5
16,4,2,4,2,4
15,4,4,1,3,4
25,1,3,1,3,4
29,1,5,5,4,3
23,3,2,1,3,3
22,2,2,5,4,3
43,1,4,1,3,3
69,1,5,2,2,5
34,4,4,4,3,5
46,2,3,2,5,3
15,3,4,2,3,4
18,3,4,4,3,4
36,3,4,1,4,4
19,4,3,3,4,3
16,2,2,1,2,5
17,4,3,1,3,4
17,3,5,2,2,3
29,1,1,5,1,3
21,1,5,1,2,1
16,2,5,2,2,4
20,3,3,4,4,3
14,1,1,1,5,5
22,3,1,5,4,3
19,1,5,1,5,5
16,2,4,2,3,4
21,1,4,4,4,2
22,1,3,2,5,4
27,2,3,5,3,5
21,1,4,1,3,4
27,2,3,2,5,4
21,3,4,2,2,5
21,1,4,3,4,4
29,4,2,1,2,5
48,4,3,5,3,3
19,1,5,1,2,2
38,3,4,1,3,1
25,2,1,4,2,5
33,1,3,5,3,3
18,3,4,4,3,4
24,2,4,5,3,2
20,4,3,2,3,4
22,1,2,2,5,4
19,2,3,3,4,5
21,5,1,5,1,1
18,4,2,3,4,4
20,4,4,1,3,5
20,1,2,1,3,4
19,1,2,5,4,4
22,3,4,4,3,3
36,2,5,2,4,5
37,3,2,4,4,3
37,3,2,1,4,3
21,2,3,2,4,4
68,1,1,1,1,1
24,5,4,5,3,3
27,4,2,3,3,3
20,1,3,1,4,3
19,1,5,3,4,4
17,3,1,3,4,2
25,4,4,1,5,2
16,4,1,2,4,5
20,3,4,1,1,4
32,1,3,2,4,3
20,3,4,1,3,5
1994,2,4,3,4,2
26,4,4,3,2,5
32,3,4,1,4,5
49,3,4,1,2,4
32,3,2,1,5,5
46,2,3,3,4,5
19,3,5,1,3,3
16,3,4,2,2,4
56,3,5,1,4,5
23,3,4,2,4,4
26,3,1,2,5,4
57,5,3,1,4,5
25,5,4,5,3,3
21,4,1,5,3,2
48,2,3,1,3,4
18,1,5,2,2,2
27,4,4,2,2,4
31,3,4,1,4,5
18,5,3,2,5,3
16,3,2,1,4,4
19,2,3,2,2,4
19,1,3,2,1,4
26,5,2,1,4,3
18,2,1,4,2,4
18,1,4,4,3,3
43,5,4,4,3,5
21,1,5,2,4,3
26,3,5,2,4,3
39,1,2,2,3,4
56,1,5,4,5,3
20,4,2,1,3,4
15,2,5,2,2,4
21,2,2,1,2,4
30,4,3,2,4,3
16,3,5,1,5,1
21,1,5,1,5,5
16,2,4,1,3,5
13,3,1,1,5,5
26,2,2,1,4,4
16,2,5,3,2,3
16,1,3,1,5,2
26,3,2,1,4,4
18,4,2,1,2,3
19,3,5,2,3,3
65,2,4,3,1,5
46,4,3,1,3,4
52,3,3,1,4,5
21,4,4,3,2,3
18,4,4,1,5,1
54,4,2,1,4,5
32,4,3,1,4,5
20,3,4,2,2,3
18,3,4,2,4,3
36,3,4,3,5,5
56,1,4,1,2,3
21,5,4,1,4,3
19,5,5,1,2,3
27,1,4,1,5,2
20,4,3,1,5,4
18,4,4,2,3,3
25,2,4,1,3,4
18,3,5,1,3,3
15,1,5,2,4,4
37,1,1,5,4,4
20,2,1,1,3,4
28,4,4,1,4,5
15,1,4,3,4,4
17,2,2,3,4,4
23,3,1,1,5,4
14,3,4,2,4,2
18,3,4,1,5,3
50,2,2,1,5,5
23,5,4,3,3,3
16,4,3,2,4,3
24,2,5,2,4,3
17,2,4,3,3,4
33,4,5,1,4,5
21,2,5,2,3,4
18,3,4,4,3,4
19,5,4,3,4,4
27,4,3,1,3,4
46,2,3,4,2,5
42,1,3,2,4,5
15,1,4,3,4,5
21,3,2,2,2,2
14,3,4,2,3,3
15,1,2,3,2,5
21,4,3,1,3,3
25,4,1,1,3,5
21,3,3,4,4,4
24,4,3,1,3,3
23,4,1,1,3,4
22,1,4,1,3,3
24,3,2,3,2,4
18,3,2,1,4,4
44,4,2,1,3,4
15,1,5,1,3,2
31,1,4,1,4,5
42,4,3,1,5,5
18,2,1,2,5,3
27,4,5,1,4,4
18,2,1,1,5,5
19,2,5,5,4,5
23,4,1,5,4,4
22,2,3,2,5,3
25,2,3,4,2,4
29,3,5,1,3,2
32,1,4,1,4,5
20,2,4,2,4,4
31,3,3,1,4,5
37,4,3,2,3,4
35,2,2,3,4,5
16,1,4,1,2,5
19,4,3,2,1,2
23,3,5,2,4,3
17,2,4,1,3,5
20,2,3,3,3,4
45,3,4,1,4,4
57,4,2,1,3,4
21,3,4,1,4,1
16,5,1,3,4,3
13,1,4,1,4,4
41,4,2,1,5,5
17,2,1,1,3,3
16,1,4,2,2,3
40,4,3,2,4,4
21,3,2,4,5,4
17,2,1,4,3,4
31,1,4,1,5,2
21,3,3,1,5,4
20,3,3,2,2,4
22,2,4,3,5,5
21,3,3,1,4,3
18,1,1,2,5,3
25,3,4,2,3,4
38,1,5,5,4,3
17,2,5,3,2,5
19,2,3,5,5,3
19,4,2,1,3,2
1996,2,4,1,3,3
17,1,2,3,4,5
18,4,5,2,3,3
19,4,3,1,5,2
21,4,5,4,2,4
26,1,5,1,3,5
19,2,4,1,2,4
51,3,2,1,4,5
17,5,1,2,1,4
13,2,5,1,2,4
27,4,5,2,3,3
37,1,2,3,3,4
22,1,2,5,2,3
28,4,4,2,3,3
23,2,4,1,5,5
14,2,2,4,5,5
15,2,4,1,3,4
33,1,3,4,4,3
18,5,5,1,5,2
16,3,4,1,2,4
21,2,5,2,3,3
17,2,3,3,2,3
18,1,4,5,3,4
18,5,1,5,1,5
18,3,4,1,4,2
37,3,5,5,3,3
20,2,5,1,4,3
17,2,2,2,2,5
18,1,5,2,5,4
13,3,5,5,3,2
40,1,4,2,3,5
18,5,5,1,2,3
33,3,4,2,3,3
19,3,2,2,4,4
13,2,1,3,5,4
20,1,2,1,2,4
17,3,5,2,4,5
23,2,3,1,4,5
15,1,3,2,3,4
40,1,4,2,4,3
23,1,3,2,3,3
